kl_dog,kl_cat,loss_cat,loss_dog
0.66907907,1.5149047,11.533528,10.84532
0.5644331,2.0259366,10.5408325,9.5982895
1.0183192,3.189146,13.101972,12.314121
1.185045,2.9461815,9.882584,9.07419
1.9899127,3.3551552,16.427586,18.508324
2.082555,3.5987358,14.299696,13.209125
2.5447261,4.4238806,12.764153,12.314295
4.943557,4.646902,10.784204,11.141567
5.1306734,4.877269,11.060693,9.948883
8.754193,4.526002,9.207426,9.360868
11.053745,4.806583,10.180773,10.56231
43.530914,4.709039,10.147554,10.873619
95.9797,9.408186,13.426321,12.306868
115.28326,12.229097,9.116783,8.421077
134.12129,19.223396,9.757432,8.913116
209.37735,108.01849,13.229041,12.177534
202.39017,103.30989,11.120731,9.939657
485.4474,185.93227,9.99929,10.20347
474.176,456.76428,9.901662,9.396313
743.4525,441.85547,15.001494,16.819216
786.12744,431.09338,10.795615,11.6828
765.95667,674.1875,11.71981,11.437548
760.40076,648.45056,9.566358,9.4630575
736.9311,867.8726,7.8465824,7.457689
737.69147,1115.3296,12.070368,11.213559
716.5058,1110.0178,11.580098,11.052313
846.65515,1106.6389,13.253101,14.980064
836.64355,1079.0728,11.655989,11.892748
863.5281,1046.4122,10.59317,10.865451
901.519,1022.6758,8.732152,9.181311
907.3798,1019.9415,7.447586,7.1670876
943.2282,1009.95337,9.30325,8.645849
996.49255,1025.269,11.425966,10.506344
987.30457,1016.9737,10.096275,9.849036
976.5982,1002.23395,9.095177,9.031369
951.46454,995.56165,10.652361,9.571035
929.3792,1102.3287,8.460341,8.559673
1010.1005,1137.16,13.565184,15.052236
990.45856,1114.302,10.294337,9.5259285
995.5334,1110.2032,7.8216457,7.9142523
1049.3239,1192.2512,10.211985,9.703559
1042.1796,1207.2628,6.18328,6.210087
1041.0879,1254.5168,9.855532,9.951254
1021.16693,1276.018,7.8019576,8.060723
1014.0214,1261.0103,8.639628,8.512204
1034.0387,1256.7688,9.630484,9.255139
1016.4042,1405.8539,12.354194,11.342998
1038.9791,1380.0829,8.558095,8.744387
1079.0919,1413.5219,11.826456,11.677456
2815.1907,1462.603,12.023644,13.291485
2773.9866,1445.3085,8.464192,9.2883
2725.7786,1443.1589,9.933343,9.716376
2676.581,1427.3236,6.9286284,6.68799
2628.4558,1417.673,7.3307924,7.618459
2597.4485,28459.121,11.169169,12.183973
2554.4949,27957.584,7.9866066,7.780897
2510.0308,27468.957,10.492096,10.111174
2474.0808,26996.611,7.732453,7.6726084
2440.2307,26541.031,10.904533,10.7859
2400.4045,26099.875,7.6727843,7.7902126
2369.51,25672.076,8.997551,8.874165
2335.598,25260.629,9.230985,8.964085
2299.9292,24861.848,7.351638,7.517926
2265.6672,24477.787,9.110828,9.19733
2249.2383,24105.922,10.150064,11.0024805
2300.6165,23741.617,9.914465,10.41967
2267.961,23389.078,10.617442,10.391872
2237.737,23046.814,8.256258,7.8736334
2212.1497,22714.74,9.8204155,10.021434
2186.1492,22391.305,7.731756,7.50038
2155.7202,22076.8,8.808611,8.703348
2129.4297,21772.527,8.632367,8.455118
2102.944,21476.334,5.913482,5.710781
2079.8457,21191.188,9.462647,9.323052
2053.1655,20909.967,7.057835,7.240927
2027.0457,20636.867,6.853839,7.1100693
2003.906,20370.514,7.3568115,7.0914607
1995.2218,20113.963,9.444675,10.109053
1971.6664,19859.693,8.055989,8.385139
1953.178,19612.547,7.5883846,7.4009786
1940.638,19370.537,7.109479,6.883661
1921.0074,19136.117,8.110267,7.418796
1903.6031,18908.082,7.7248926,7.5702405
1883.8232,18684.988,5.9058485,5.854401
1863.1842,18466.633,6.489308,6.7287846
1842.5107,18252.732,8.319541,8.083629
1822.2751,18044.578,9.983489,10.059845
1807.1449,17845.068,8.866741,8.623596
1793.79,17645.492,7.829728,8.275356
1777.6808,17451.252,9.544714,10.150653
1763.4088,17265.17,7.638513,7.5715437
1744.8961,17078.363,8.034666,8.315717
1727.1704,16896.496,6.100038,6.4286895
1713.1313,16719.04,8.292837,8.165641
1699.0647,16544.486,7.3495045,7.145147
1692.0607,16373.003,8.462705,8.717211
1705.6272,16208.031,8.742555,9.075046
1691.8947,16044.425,5.9581637,6.0278993
1681.7203,15883.119,7.142361,7.010573
1669.4972,15725.119,8.020165,8.327023
1654.8038,15571.172,5.553245,5.4850187
1650.2223,15419.375,6.3676524,6.745909
1643.7106,15269.824,6.7970695,6.416933
1629.6251,15123.468,6.3237453,6.607912
1616.1785,14980.897,6.148704,6.290695
1604.9349,14840.498,7.425364,7.852611
1596.818,14702.498,7.0697455,6.815779
1585.4432,14568.075,6.27356,6.0596137
1571.7645,14435.82,9.100817,9.571171
1563.0981,14306.328,9.583605,9.831754
1551.3881,14180.901,8.279801,8.507111
1539.001,14056.114,5.623478,5.9021974
1535.9241,13931.894,6.4198074,5.8815646
1527.8364,13815.083,7.72645,7.485132
1518.0254,13696.702,5.46459,5.887195
1528.554,13579.687,6.398448,6.9278717
1516.057,13464.227,7.3677673,7.595116
1504.5178,13351.505,5.780927,5.6868157
1495.8857,13240.697,9.093405,9.5460205
1484.3218,13131.611,8.722742,9.193059
1479.9304,13023.201,6.6251574,5.9968843
1468.3602,12917.135,7.5218368,7.5168014
1461.7827,12817.718,7.5246525,7.309498
1454.4319,12716.755,7.8816605,8.139429
1482.8175,12618.995,8.200917,8.461627
1472.9053,12522.478,7.495151,8.222332
1463.3158,12424.802,7.168832,7.8219
1454.4188,12329.248,7.608109,7.377113
1448.3779,12235.218,8.800644,8.950337
1438.2212,12142.441,8.482833,8.943144
1428.735,12051.491,5.5235023,5.43358
1419.7572,11961.335,6.972212,6.7158284
1410.344,11872.809,5.4687176,5.936025
1400.1469,11784.833,7.2740817,7.2934422
1393.1199,11699.486,6.996234,6.961267
1390.0188,11614.266,7.1155696,7.244293
1386.3463,11529.583,6.3229,5.5915294
1377.3534,11447.131,7.486998,8.241893
1368.4076,11365.207,6.4067283,6.6395636
1360.834,11285.047,6.4438567,6.9820337
1351.8091,11205.623,6.825088,6.979074
1343.8983,11128.302,7.203993,7.140479
1343.2318,11051.297,6.6731462,6.946564
1335.5089,10977.417,7.620661,7.7179146
1327.9122,10903.131,5.3018146,5.798197
1320.375,10829.906,5.305945,5.605865
1313.2631,10757.317,6.263205,6.523376
1308.4432,10686.443,6.7351775,6.7403755
1301.7128,10616.138,6.3874164,6.375098
1298.6613,10545.47,6.5999093,6.1517124
1294.1617,10480.202,7.9908957,8.018392
1287.2482,10412.502,4.7918344,5.163908
1280.4746,10347.234,7.038796,7.8123
